,player_id,name,clubs,fifa_index,name_compare,fifa_clubs,sofifa_id
6635,250845,jose maria gimenez,['atletico-madrid'],101,jose maria gimenez de vargas,Atletico de Madrid,216460
6636,127181,benjamin lecomte,"['fc-lorient', 'montpellier-hsc', 'as-monaco', 'atletico-madrid']",282,benjamin lecomte,AS Monaco,200726
6637,121483,jan oblak,['atletico-madrid'],5,jan oblak,Atletico de Madrid,200389
6638,151494,tom beugelsdijk,"['ado-den-haag', 'sparta-rotterdam']",5099,tom beugelsdijk,ADO Den Haag,204476
6639,266807,angel correa,['atletico-madrid'],306,angel martin correa,Atletico de Madrid,214997
6640,107010,stefan savic,"['ac-florenz', 'atletico-madrid']",290,stefan savic,Atletico de Madrid,204639
6641,462250,joao felix,"['benfica-lissabon', 'atletico-madrid']",565,joao felix sequeira,Atletico de Madrid,242444
6642,3875,jermain defoe,"['afc-sunderland', 'afc-bournemouth', 'glasgow-rangers']",1257,jermain colin defoe,Rangers FC,50542
6643,149354,jan marc schneider,['pas-giannina'],12865,jan marc schneider,SSV Jahn Regensburg,238238
6644,353959,kevin soni,"['fc-girondins-bordeaux', 'real-sociedad-san-sebastian', 'fc-girona', 'asteras-tripolis']",8356,kevin soni,Girona FC,228357
6645,466847,asier benito,['asteras-tripolis'],10661,asier benito sasiain,SD Ponferradina,233417
6646,56523,michiel kramer,"['ado-den-haag', 'feyenoord-rotterdam', 'sparta-rotterdam', 'fc-utrecht', 'rkc-waalwijk']",5777,michiel kramer,ADO Den Haag,184614
6647,345590,jens odgaard,"['lyngby-bk', 'us-sassuolo', 'sc-heerenveen', 'rkc-waalwijk']",11782,jens odgaard,SC Heerenveen,234671
6648,292805,lennerd daneels,['rkc-waalwijk'],13167,lennerd daneels,RKC Waalwijk,251558
6649,160431,iliass bel hassani,"['heracles-almelo', 'az-alkmaar', 'fc-groningen', 'pec-zwolle', 'rkc-waalwijk']",6193,iliass bel hassani,PEC Zwolle,220118
6650,45562,hans mulder,"['fc-nordsjaelland', 'rkc-waalwijk']",8965,hans jorge mulder,RKC Waalwijk,193059
6651,361122,achraf el bouchataoui,"['feyenoord-rotterdam', 'rkc-waalwijk']",12050,achraf el bouchataoui,Feyenoord,244052
6652,30670,vurnon anita,"['newcastle-united', 'willem-ii-tilburg', 'rkc-waalwijk']",6769,vurnon san benito anita,Leeds United,183940
