,0
1932,7688
1933,7693
1934,7694
1935,7696
1936,7706
1937,7707
1938,7708
1939,7709
1940,7710
1941,7717
1942,7721
1943,7727
1944,7732
1945,7737
1946,7739
1947,7741
1948,7747
1949,7750
1950,7757
1951,7759
1952,7764
1953,7775
1954,7776
1955,7777
1956,7778
1957,7779
1958,7782
1959,7784
1960,7786
1961,7787
1962,7800
1963,7811
1964,7815
1965,7818
1966,7822
1967,7826
1968,7828
1969,7845
1970,7849
1971,7854
1972,7857
1973,7860
1974,7883
1975,7886
1976,7891
1977,7894
1978,7899
1979,7905
1980,7910
1981,7915
1982,7920
1983,7921
1984,7924
1985,7929
1986,7933
1987,7940
1988,7942
1989,7943
1990,7947
1991,7948
1992,7952
1993,7953
1994,7955
1995,7963
1996,7967
1997,7968
1998,7970
1999,7973
2000,7975
2001,7976
2002,7977
2003,7979
2004,7982
2005,7991
2006,7998
2007,7999
2008,8001
2009,8002
2010,8010
2011,8014
2012,8017
2013,8019
2014,8022
2015,8034
2016,8039
2017,8040
2018,8043
2019,8050
2020,8052
2021,8054
2022,8058
2023,8059
2024,8060
2025,8064
2026,8067
2027,8068
2028,8069
2029,8072
2030,8073
2031,8077
2032,8080
2033,8082
2034,8086
2035,8089
2036,8096
2037,8104
2038,8105
2039,8109
2040,8112
2041,8113
2042,8114
2043,8116
2044,8117
2045,8120
2046,8141
2047,8147
2048,8152
2049,8155
2050,8162
2051,8164
2052,8171
2053,8176
2054,8177
2055,8178
2056,8184
2057,8186
2058,8188
2059,8198
2060,8199
2061,8201
2062,8203
2063,8205
2064,8207
2065,8208
2066,8209
2067,8211
2068,8213
2069,8215
2070,8218
2071,8219
2072,8222
2073,8228
2074,8229
2075,8231
2076,8233
2077,8235
2078,8236
2079,8244
2080,8245
2081,8247
2082,8257
2083,8258
2084,8264
2085,8267
2086,8277
2087,8279
2088,8281
2089,8284
2090,8285
2091,8288
2092,8289
2093,8292
2094,8322
2095,8326
2096,8330
2097,8342
2098,8348
2099,8350
2100,8353
2101,8359
2102,8364
2103,8367
2104,8371
2105,8373
2106,8380
2107,8381
2108,8383
2109,8384
2110,8385
2111,8399
2112,8400
2113,8404
2114,8408
2115,8414
2116,8415
2117,8422
2118,8427
2119,8430
2120,8432
2121,8434
2122,8442
2123,8446
2124,8467
2125,8469
2126,8474
2127,8476
2128,8478
2129,8481
2130,8482
2131,8488
2132,8493
2133,8494
2134,8503
2135,8506
2136,8512
2137,8519
2138,8523
2139,8526
2140,8531
2141,8534
2142,8536
2143,8541
2144,8551
2145,8552
2146,8557
2147,8563
2148,8567
2149,8568
2150,8570
2151,8572
2152,8578
2153,8583
2154,8584
2155,8593
2156,8602
2157,8608
2158,8609
2159,8610
2160,8611
2161,8623
2162,8625
2163,8626
2164,8628
2165,8631
2166,8638
2167,8644
2168,8647
2169,8651
2170,8657
2171,8667
2172,8676
2173,8689
2174,8710
2175,8714
2176,8716
2177,8732
2178,8733
2179,8737
2180,8743
2181,8754
2182,8755
2183,8757
2184,8758
2185,8759
2186,8764
2187,8770
2188,8787
2189,8788
2190,8790
2191,8791
2192,8796
2193,8808
2194,8809
2195,8811
2196,8814
2197,8815
2198,8816
2199,8817
2200,8818
2201,8819
2202,8823
2203,8824
2204,8827
2205,8831
2206,8841
2207,8847
2208,8861
2209,8864
2210,8869
2211,8888
2212,8901
2213,8902
2214,8907
2215,8908
2216,8909
2217,8911
2218,8915
2219,8917
2220,8922
2221,8923
2222,8924
2223,8925
2224,8926
2225,8937
2226,8940
2227,8942
2228,8943
2229,8944
2230,8945
2231,8946
2232,8950
2233,8955
2234,8956
2235,8957
2236,8958
2237,8960
2238,8962
2239,8967
2240,8968
2241,8974
2242,8975
2243,8976
2244,8978
2245,8980
2246,8982
2247,8987
2248,8988
2249,8990
2250,8994
2251,8996
2252,8997
2253,8998
2254,8999
2255,9000
2256,9002
2257,9003
2258,9006
2259,9008
2260,9009
2261,9010
2262,9012
2263,9027
2264,9028
2265,9032
2266,9034
2267,9036
2268,9042
2269,9043
2270,9045
2271,9046
2272,9055
2273,9056
2274,9058
2275,9059
2276,9060
2277,9061
2278,9062
2279,9063
2280,9066
2281,9067
2282,9069
2283,9072
2284,9076
2285,9078
2286,9079
2287,9080
2288,9081
2289,9082
2290,9083
2291,9084
2292,9087
2293,9088
2294,9089
2295,9091
2296,9092
2297,9095
2298,9097
2299,9100
2300,9101
2301,9104
2302,9113
2303,9115
2304,9116
2305,9119
2306,9121
2307,9126
2308,9144
2309,9145
2310,9146
2311,9153
2312,9154
2313,9157
2314,9159
2315,9160
2316,9166
2317,9168
2318,9170
2319,9172
2320,9173
2321,9174
2322,9177
2323,9180
2324,9181
2325,9182
2326,9186
2327,9190
2328,9191
2329,9192
2330,9193
2331,9195
2332,9196
2333,9197
2334,9198
2335,9199
2336,9200
2337,9201
2338,9202
2339,9203
2340,9204
2341,9206
2342,9209
2343,9214
2344,9215
2345,9216
2346,9217
2347,9218
2348,9220
2349,9221
2350,9223
2351,9224
2352,9230
2353,9232
2354,9233
2355,9234
2356,9235
2357,9236
2358,9238
2359,9239
2360,9242
2361,9243
2362,9247
2363,9248
2364,9250
2365,9251
2366,9255
2367,9258
2368,9259
2369,9260
2370,9261
2371,9263
2372,9264
2373,9265
2374,9266
2375,9267
2376,9269
2377,9270
2378,9272
2379,9273
2380,9274
2381,9275
2382,9276
2383,9277
2384,9278
2385,9280
2386,9282
2387,9284
2388,9285
2389,9286
2390,9288
2391,9290
2392,9291
2393,9292
2394,9295
2395,9297
2396,9303
2397,9304
2398,9311
2399,9312
2400,9315
2401,9316
2402,9317
2403,9319
2404,9321
2405,9323
2406,9324
2407,9326
2408,9327
2409,9328
2410,9329
2411,9332
2412,9335
2413,9336
2414,9337
2415,9338
2416,9339
2417,9342
2418,9344
2419,9345
2420,9348
2421,9356
2422,9361
2423,9362
2424,9365
2425,9371
2426,9374
2427,9375
2428,9383
2429,9384
2430,9385
2431,9386
2432,9387
2433,9388
2434,9390
2435,9391
2436,9394
2437,9396
2438,9397
2439,9400
2440,9401
2441,9402
2442,9406
2443,9410
2444,9412
2445,9417
2446,9418
2447,9421
2448,9422
2449,9429
2450,9431
2451,9432
2452,9435
2453,9438
2454,9441
2455,9444
2456,9446
2457,9448
2458,9453
2459,9457
2460,9461
2461,9463
2462,9471
2463,9474
2464,9486
2465,9492
2466,9496
2467,9497
2468,9498
2469,9507
2470,9508
2471,9510
2472,9511
2473,9512
2474,9516
2475,9517
2476,9519
2477,9520
2478,9524
2479,9525
2480,9526
2481,9532
2482,9533
2483,9534
2484,9536
2485,9537
2486,9539
2487,9540
2488,9541
2489,9543
2490,9544
2491,9546
2492,9550
2493,9551
2494,9552
2495,9553
2496,9556
2497,9559
2498,9560
2499,9562
2500,9569
2501,9571
2502,9576
2503,9579
2504,9580
2505,9581
2506,9582
2507,9584
2508,9589
2509,9597
2510,9598
2511,9605
2512,9616
2513,9617
2514,9626
2515,9627
2516,9629
2517,9633
2518,9635
2519,9653
2520,9654
2521,9669
2522,9675
2523,9676
2524,9689
2525,9690
2526,9692
2527,9705
2528,9710
2529,9713
2530,9716
2531,9717
2532,9720
2533,9722
2534,9723
2535,9728
2536,9736
2537,9742
2538,9748
2539,9749
2540,9753
2541,9755
2542,9756
2543,9764
